"country","countryiso3","latest.year_unemploymentyouth.2229","latest.value_unemploymentyouth.2229"
"Albania","ALB",2020,39.8
"Algeria","DZA",2020,25.2
"Argentina","ARG",2020,18.3
"Armenia","ARM",2020,32.5
"Aruba","ABW",2020,28.9
"Australia","AUS",2020,12.7
"Austria","AUT",2020,10.6
"Azerbaijan","AZE",2020,13.4
"Bahamas, The","BHS",2020,30.8
"Bahrain","BHR",2020,5.3
"Bangladesh","BGD",2020,9.4
"Barbados","BRB",2020,32.4
"Belarus","BLR",2020,12.5
"Belgium","BEL",2020,22.1
"Belize","BLZ",2020,18.9
"Benin","BEN",2020,2.4
"Bermuda","BMU",2020,29.3
"Bhutan","BTN",2020,10.7
"Bolivia","BOL",2020,6.9
"Bosnia and Herzegovina","BIH",2020,62.3
"Botswana","BWA",2020,36
"Brazil","BRA",2020,16.1
"Bulgaria","BGR",2020,21.6
"Cambodia","KHM",2020,0.5
"Cameroon","CMR",2020,6.4
"Canada","CAN",2020,13.1
"Cayman Islands","CYM",2020,13.8
"Chile","CHL",2020,15.4
"Colombia","COL",2020,16.6
"Costa Rica","CRI",2020,23.3
"Croatia","HRV",2020,43
"Cuba","CUB",2020,6.1
"Curacao","CUW",2020,29.7
"Cyprus","CYP",2020,32.8
"Czechia","CZE",2020,12.6
"Denmark","DNK",2020,12
"Dominican Republic","DOM",2020,10.8
"Ecuador","ECU",2020,11.8
"Egypt","EGY",2020,31.3
"El Salvador","SLV",2020,12.4
"Estonia","EST",2020,13.1
"Ethiopia","ETH",2020,26.7
"Fiji","FJI",2020,18.7
"Finland","FIN",2020,22.5
"France","FRA",2020,24.6
"French Polynesia","PYF",2020,56.7
"Gabon","GAB",2020,35.7
"Gambia, The","GMB",2020,44.3
"Gaza Strip","PSE",2020,40.7
"Georgia","GEO",2020,35.6
"Germany","DEU",2020,7.2
"Ghana","GHA",2020,11.2
"Greece","GRC",2020,49.8
"Guam","GUM",2020,29.4
"Guatemala","GTM",2020,4.8
"Guinea","GIN",2020,1
"Honduras","HND",2020,14.2
"Hong Kong","HKG",2020,9.9
"Hungary","HUN",2020,17.3
"Iceland","ISL",2020,6.5
"India","IND",2020,10.7
"Indonesia","IDN",2020,22.6
"Iran","IRN",2020,26.1
"Ireland","IRL",2020,20.9
"Isle of Man","IMN",2020,10.1
"Israel","ISR",2020,8.6
"Italy","ITA",2020,40.3
"Jamaica","JAM",2020,37.8
"Japan","JPN",2020,5.1
"Jordan","JOR",2020,29.3
"Kazakhstan","KAZ",2020,3.9
"Kiribati","KIR",2020,54
"Korea, South","KOR",2020,10.7
"Kosovo","XKS",2020,57.7
"Kuwait","KWT",2020,14.6
"Kyrgyzstan","KGZ",2020,15
"Latvia","LVA",2020,16.3
"Lebanon","LBN",2020,22.1
"Lesotho","LSO",2020,34.4
"Liberia","LBR",2020,6
"Libya","LBY",2020,48.7
"Lithuania","LTU",2020,16.3
"Luxembourg","LUX",2020,17.4
"Macau","MAC",2020,4.5
"Madagascar","MDG",2020,2.6
"Malawi","MWI",2020,8.6
"Malaysia","MYS",2020,10.7
"Maldives","MDV",2020,25.4
"Mali","MLI",2020,11.1
"Malta","MLT",2020,11.8
"Marshall Islands","MHL",2020,11
"Mauritius","MUS",2020,26.3
"Mexico","MEX",2020,7.7
"Moldova","MDA",2020,12.8
"Mongolia","MNG",2020,17.9
"Montenegro","MNE",2020,37.7
"Morocco","MAR",2020,19.9
"Mozambique","MOZ",2020,39.3
"Namibia","NAM",2020,56.2
"Nepal","NPL",2020,3.5
"Netherlands","NLD",2020,11.3
"New Zealand","NZL",2020,13.2
"Nicaragua","NIC",2020,11.9
"Niger","NER",2020,2.3
"Nigeria","NGA",2020,7.7
"Norway","NOR",2020,11.1
"Pakistan","PAK",2020,8.6
"Panama","PAN",2020,11.5
"Paraguay","PRY",2020,13
"Peru","PER",2020,14.7
"Philippines","PHL",2020,15
"Poland","POL",2020,20.8
"Portugal","PRT",2020,28
"Puerto Rico","PRI",2020,26.6
"Qatar","QAT",2020,0.6
"Romania","ROU",2020,21.7
"Russia","RUS",2020,16
"Rwanda","RWA",2020,4.4
"Saint Lucia","LCA",2020,27.5
"Saint Vincent and the Grenadines","VCT",2020,33.8
"Samoa","WSM",2020,19.1
"San Marino","SMR",2020,28
"Sao Tome and Principe","STP",2020,20.8
"Saudi Arabia","SAU",2020,28.5
"Senegal","SEN",2020,12.7
"Serbia","SRB",2020,43.2
"Seychelles","SYC",2020,14
"Singapore","SGP",2020,6.6
"Slovakia","SVK",2020,26.5
"Slovenia","SVN",2020,16.3
"South Africa","ZAF",2020,50.1
"South Sudan","SSD",2020,18.5
"Spain","ESP",2020,44.4
"Sri Lanka","LKA",2020,20.7
"Sudan","SDN",2020,20
"Suriname","SUR",2020,16.4
"Sweden","SWE",2020,20.4
"Switzerland","CHE",2020,8.4
"Syria","SYR",2020,35.8
"Tajikistan","TJK",2020,16.7
"Tanzania","TZA",2020,9.4
"Thailand","THA",2020,0.9
"Timor-Leste","TLS",2020,11.1
"Trinidad and Tobago","TTO",2020,8.4
"Tunisia","TUN",2020,37.6
"Turkey","TUR",2020,18.5
"Uganda","UGA",2020,2.6
"Ukraine","UKR",2020,22.4
"United Arab Emirates","ARE",2020,12.1
"United Kingdom","GBR",2020,14.6
"United States","USA",2020,10.4
"Uruguay","URY",2020,22.5
"Vanuatu","VUT",2020,10.6
"Venezuela","VEN",2020,14.6
"Vietnam","VNM",2020,7
"West Bank","PSE",2020,40.7
"Yemen","YEM",2020,33.7
"Zambia","ZMB",2020,15.2
"Zimbabwe","ZWE",2020,16.5
